,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,Amari Bailey,PG,19,CHO,3,0,5.0,0.7,2.3,.286,0.0,1.0,.000,0.7,1.3,.500,.286,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.3,0.0,1.7
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Patrick Baldwin Jr.,SF,21,WAS,17,0,7.2,0.9,2.4,.390,0.6,1.3,.455,0.4,1.1,.316,.512,0.5,0.7,.667,0.4,1.7,2.1,0.4,0.1,0.2,0.4,1.2,2.9
30,LaMelo Ball,PG,22,CHO,22,22,32.3,8.3,19.2,.433,3.2,9.0,.355,5.1,10.3,.500,.515,4.1,4.7,.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9
31,Mo Bamba,C,25,PHI,31,0,10.6,1.6,3.3,.500,0.4,0.9,.444,1.3,2.4,.520,.559,0.5,0.8,.640,1.5,2.3,3.7,0.6,0.4,1.0,0.7,1.5,4.2
32,Paolo Banchero,PF,21,ORL,53,53,35.0,8.1,17.8,.453,1.5,4.2,.359,6.6,13.6,.482,.495,5.2,7.4,.700,1.2,5.7,6.9,5.2,1.1,0.5,3.0,2.0,22.8
33,Desmond Bane,SG,25,MEM,37,37,34.5,8.9,18.8,.474,3.3,8.6,.384,5.6,10.2,.551,.563,3.3,3.8,.864,0.9,3.6,4.6,5.3,1.0,0.5,2.7,2.9,24.4
34,Dalano Banton,PG,24,TOT,25,1,7.8,1.0,2.6,.369,0.1,0.8,.143,0.8,1.8,.477,.392,0.7,0.8,.810,0.5,1.0,1.5,0.9,0.2,0.1,0.5,0.8,2.7
35,Dalano Banton,PG,24,BOS,24,1,7.1,0.8,2.1,.373,0.1,0.7,.125,0.7,1.5,.486,.392,0.7,0.8,.800,0.5,1.0,1.5,0.8,0.2,0.1,0.4,0.8,2.3
36,Dalano Banton,PG,24,POR,1,0,25.0,5.0,14.0,.357,1.0,5.0,.200,4.0,9.0,.444,.393,1.0,1.0,1.000,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,12.0
37,Dominick Barlow,PF,20,SAS,23,1,13.3,1.7,3.7,.476,0.1,0.3,.429,1.6,3.3,.481,.494,1.0,1.5,.647,1.4,2.2,3.7,1.1,0.4,0.5,0.2,1.4,4.6
38,Harrison Barnes,PF,31,SAC,52,52,29.7,4.2,8.8,.479,1.9,4.8,.397,2.3,3.9,.581,.589,1.8,2.2,.819,0.8,2.1,2.9,1.2,0.7,0.2,0.7,1.2,12.1
39,Scottie Barnes,SG,22,TOR,54,54,35.2,7.4,15.7,.471,1.8,5.1,.358,5.6,10.6,.525,.529,3.3,4.3,.774,2.3,5.7,8.1,5.9,1.2,1.5,2.6,2.0,19.9
